Compound,CAM_log2FC,CAM_p,ILO_log2FC,ILO_p,score,CAM_FDR,ILO_FDR
"(Z)-Resveratrol 3,4'-diglucoside",13.7047682393626,0.06111685039222367,13.94191875749374,0.04797768859692077,27.64668699685634,0.2050849266005419,0.17241999382226753
Caffeoylmalic acid,5.530878253311737,0.002822542796052872,5.985836581499645,0.03619003061339775,11.51671483481138,0.025061303552214666,0.15790189592178305
"2',7-Dihydroxy-4'-methoxy-8-prenylflavan 2',7-diglucoside",4.99025950515136,0.0327647861647337,5.070129101304774,0.01719834067611111,10.06038860645613,0.13355003483520103,0.1269441878617904
Epicatechin-(4beta->8)-gallocatechin,7.400061107938839,0.01513318643833471,2.267056674085877,2.131125486192757e-05,9.667117782024716,0.07834668653276161,0.007943770249783488
(-)-Epigallocatechin 3-p-coumaroate,4.76897733908461,0.1750082758960564,4.460177300317009,0.04270202044093295,9.229154639401619,0.3594258026332943,0.16537327916215866
2-O-p-Coumaroylhydroxycitric acid,1.388306388866944,0.1957955743462044,7.017279958226971,0.0477297590925762,8.405586347093916,0.36002233501679687,0.17241999382226753
Caryoptosidic acid,3.01831546867375,0.1779801859460668,4.789575756414257,0.0376077384853243,7.807891225088007,0.3594258026332943,0.15919382065408172
Epicatechin-(4beta->8)-gallocatechin,5.91504646920743,9.151944010860886e-05,1.402923604623416,0.02207499236924334,7.317970073830846,0.003543836097538912,0.13771470134954725
Ethyl 3-hydroxyoctanoate O-[glucosyl-(1->6)-glucoside],5.106614741080237,0.0001999500260011348,1.863564062161979,0.11784251598742,6.970178803242217,0.005259062948029852,0.2662169565715806
