Feature_Label,RT,m/z,CAM_log2FC_recomputed,CAM_p_recomputed,ILO_log2FC_recomputed,ILO_p_recomputed,CAM_FDR_BH,ILO_FDR_BH
"32.09 min | (2S,3S,4S,5R)-6-[2-(3,4-Dihydroxyphenyl)-7-hydroxy-4-oxo-3-sulfooxychromen-5-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",32.09,593.00319,2.6496465278586405,0.1818622902556496,-1.202239491678077,0.8921098400752427,0.35844457727148515,0.9340437370310161
32.28 min | 2-Hydroxymyristic acid,32.28,243.19649,0.4302039468731263,0.5907012020136578,-2.2000870612869816,0.031711401671012,0.6855112268746735,0.15390265954217572
32.3 min | [2-(hexadecanoyloxy)-3-[octadec-11-enoyloxy]propoxy]({[2.3.4.5.6-pentahydroxycyclohexyl]oxy})phosphinic acid,32.3,835.53027,,0.3910022189557705,2.262409906675052,0.0245630750547522,0.5172165367604589,0.13959508909717197
32.31 min | Maslinic acid,32.31,471.34684,-0.1279790952111215,0.9380654677608354,4.983218877998108,0.0041354470718306,0.9560652479540324,0.07050681982960566
"32.39 min | cis-9,10-Epoxystearic acid",32.39,297.2421,-0.4314984963791917,0.6560593186508831,-1.827392339985211,0.061954728934576,0.7414221923542305,0.18763044004089793
32.42 min | Protobassic acid,32.42,503.33721,,0.0626116825106762,0.445925825880188,0.1755402791459655,0.20636451920583254,0.3257907340895621
32.44 min | 3alpha-O-trans-Feruloyl-2alpha-hydroxy-12-ursen-28-oic acid,32.44,647.39777,8.842238084530283,0.0306774415862269,-6.92942280896088,0.0397010632472466,0.12702694964975608,0.15663884873477749
32.57 min | 2alpha-Hydroxypyracrenic acid,32.57,633.38122,,0.023962770025412,0.1200588172427007,0.3582525565269538,0.10640702702602563,0.4932342085909646
32.79 min | [2-(hexadecanoyloxy)-3-[octadec-11-enoyloxy]propoxy]({[2.3.4.5.6-pentahydroxycyclohexyl]oxy})phosphinic acid,32.79,835.53208,3.642976742954345,0.4578370658383612,1.7039133278897445,0.0364995282094339,0.5742715603294976,0.15397615924845154
"32.8 min | 2,4-Di-tert-butylphenol",32.8,205.15984,0.941805121829985,0.4199340955498823,,0.0692009338853425,0.5414836470162349,0.19898145793743477
32.87 min | Ganoderic acid DM,32.87,467.31791,1.8410333425206264,0.0708801700249768,0.9763280893023704,0.414542335472844,0.21440135267995997,0.5509941918075049
32.94 min | 2-Hydroxyhexadecanoic acid,32.94,271.22789,1.136526860027051,0.1262665274130703,0.7225821881686368,0.0870665740963247,0.29807534078196596,0.2239086384115911
"32.99 min | (2S,3S,4S,5R)-6-[2-(3,4-Dihydroxyphenyl)-7-hydroxy-4-oxo-3-sulfooxychromen-5-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",32.99,593.00312,0.5066556073204955,0.6016634003273407,-0.8338111291696075,0.3528863302869867,0.6941496707201817,0.4892931949059524
"33.05 min | 9-hydroxy-10,12-octadecadienoic acid",33.05,295.22663,0.1782294138307071,0.5541089380135714,-0.4930004012851693,0.3237248033650589,0.657886485564112,0.47158644878390965
33.08 min | 3-Oxohexadecanoic acid,33.08,269.21148,1.7552585179918958,0.0082573814135289,,0.0076097914998782,0.05045771562868766,0.08906035645196436
33.09 min | Polyglycerol esters of fatty acids,33.09,431.33856,-0.4439186192659726,0.7806312805346033,0.9452941079098648,0.1055836336646012,0.837647085018094,0.24600642751554183
33.13 min | 10-Hydroxymyristic acid methyl ester,33.13,257.21187,0.0343363638702611,0.8680476498358045,0.4480160020904535,0.0454256644505323,0.9026911177885889,0.16552201215352272
33.16 min | Corosolic acid,33.16,471.34776,0.7906915924260216,0.7293202126316025,1.2643553226096331,0.5825828512946102,0.7980912944883066,0.7059191748873954
33.18 min | 12-Hydroxyoctadecanoic acid,33.18,299.25842,0.5103430271379608,0.2311875040085658,,0.0328776791640593,0.39660862488922904,0.15390265954217572
33.25 min | Dodecanoic acid,33.25,199.16985,-0.51959931633803,0.4504529833308691,1.2251844860699537,0.2749257408125926,0.569666272875394,0.42421502576781045
33.57 min | 12-Hydroxyoctadecanoic acid,33.57,299.25812,0.7773981859229577,0.1103916240825018,,0.1276110972220147,0.2737534187021268,0.27528994273785895
33.58 min | maslinic acid (3-O-trans-p-Coumaroyl-),33.58,617.38532,11.30325752417408,0.0003233422456267,-2.5107964820842747,0.8284505758746492,0.007032119273664317,0.8868916630099926
"33.59 min | cis-9,10-Epoxystearic acid",33.59,297.2432,0.4042893333100407,0.0384049194631205,,0.0276195268399822,0.14982258129539383,0.14778158687653362
33.63 min | Glycyrrhetinic acid,33.63,469.33115,3.2653350594383297,0.1651119700524194,3.709036079914865,0.0310554272490159,0.3568382326172006,0.15316980368175342
33.66 min | maslinic acid (3-O-trans-p-Coumaroyl-),33.66,653.36303,,0.0007625013960439,1.4901311605284124,0.0472640570704227,0.01096890029100652,0.16816845311326875
33.72 min | 3-Oxooctadecanoic acid,33.72,333.21988,2.723679903415981,0.001675684339115,0.0743399033732497,0.8990263286871131,0.01780092363321396,0.9370229131448325
33.74 min | Oleic acid,33.74,281.24694,-9.157346935362844,0.3910022189557705,3.7820117523495593,3.005283529766419e-07,0.5172165367604589,0.00041502965546074246
33.87 min | 3-Oxohexadecanoic acid,33.87,269.21138,0.9996501285199564,0.0906902043180169,-2.3107103629265557,0.076300334331644,0.24368053685352686,0.21038036143469874
33.95 min | 6-[Ethyl-(3-isobutoxy-4-isopropylphenyl)amino]nicotinic acid,33.95,355.20139,-0.8294184277079458,0.1512689722942986,0.1973680752703937,0.3856036089794856,0.3369394366748812,0.5215657042122132
"33.97 min | cis-9,10-Epoxystearic acid",33.97,297.24303,0.0833897748187545,0.9538610661378668,-2.272953575888602,0.1499485936144737,0.965409820722236,0.30093042867597314
33.98 min | (2s)-2-[[(2s)-2-Acetamido-5-[[n-(Methylcarbamoyl)carbamimidoyl]amino]pentanoyl]-Methyl-Amino]-3-Phenyl-Propanoic Acid,33.98,433.21814,-7.422064766172812,0.3910022189557705,-0.4236919645893821,0.7765770738468097,0.5172165367604589,0.847400970909712
34.0 min | N-Undecylbenzenesulfonic acid,34.0,311.16971,,0.0662064562221207,1.0365818607724695,0.3589430699738736,0.21133398722018057,0.4932342085909646
34.03 min | 5-Tetradecenoic acid,34.03,225.1858,-1.2030918653775116,0.7662589359098768,-1.6624106630361124,0.181994965569754,0.8273679362717279,0.3294037319158981
34.17 min | Maslinic acid,34.17,471.34777,2.646021616209224,0.0526414947285685,,0.4261681890163763,0.18688407254538072,0.5615823177782592
34.18 min | 3-Oxohexadecanoic acid,34.18,269.21091,0.6821173626938876,0.5449088358434039,,0.0064666031680864,0.6515316903028059,0.08045386464078666
"34.21 min | cis-9,10-Epoxystearic acid",34.21,297.24358,0.1777944040690453,0.4065717570770412,,0.0036628970486174,0.5317003754956381,0.06744614432187507
