,PC1,PC2,PC3,Group
UNinfectedILO.9,-1.0931870778875767,0.6883156926727916,-2.390546783209395,UNINFECTED
UNinfectedILO.10,-3.2148624710557763,0.870777345503746,-1.864941371697365,UNINFECTED
UNinfectedILO.11,-3.5536390787788266,0.9409775797437654,-2.0998125522367976,UNINFECTED
UNinfectedILO.12,-15.323750703293959,-2.290323217603534,-5.970011861617637,UNINFECTED
UNinfectedILO.13,-14.515004060670618,-2.6248232443556145,-5.717346326355602,UNINFECTED
UNinfectedILO.14,-3.942790551854801,3.6493881937466597,-3.509707287196876,UNINFECTED
UNinfectedILO.15,-4.004494773785497,3.315166514903291,-3.474913267138268,UNINFECTED
UNinfectedILO.16,-11.403895825577038,-0.05613143410686179,-7.665680438832259,UNINFECTED
UNinfectedILO.17,-11.714871887977216,0.10843878937285177,-7.707248986353623,UNINFECTED
UNinfectedILO.18,-13.065770225783352,-0.6379879931910749,-8.76284948492921,UNINFECTED
UNinfectedILO.19,-13.134474139601682,-0.8039874682685363,-8.298297272590766,UNINFECTED
uninfecraffspec-stemleaf,-0.4576340059663666,3.604420354246645,-0.08677343783226701,UNINFRAFFSPEC
uninfecraffspec-stemleaf.1,-0.6595172535613063,3.616865086958046,-0.12173285777015216,UNINFRAFFSPEC
uninfecraffspec-stemleaf.2,-1.8210064865504807,2.690658923399108,0.9968903678971021,UNINFRAFFSPEC
uninfecraffspec-stemleaf.3,-1.974547331373233,3.095225162767632,1.2444086786104152,UNINFRAFFSPEC
nonhostILO,-12.639406615602198,2.5972241107270677,-3.6487879685609172,nonhostTET
nonhostILO.1,-12.639725656054813,2.759777880904345,-3.9048013988144414,nonhostTET
nonhostILO.2,-17.16594649924961,-3.881508485905941,-8.499324231270288,nonhostTET
nonhostILO.3,-16.659468510001755,-3.5883356995445763,-8.778515656441863,nonhostTET
nonhostILO.4,-17.73215421876288,-2.2293277730615917,-10.368670234328441,nonhostTET
nonhostILO.5,-17.16947418781982,-2.0084605843995766,-9.931576529189226,nonhostTET
nonhostILO.6,-10.798703859217229,2.328836689884104,-1.4512176266078722,nonhostTET
nonhostILO.7,-10.817854032280286,2.5353274326679953,-2.014199367631763,nonhostTET
