Metabolite,log2FC_pooled,p_value_Welch,neglog10_p,FDR_BH,Class
Nb-trans-Feruloylserotonin glucoside,1.320543301356202,0.003756451942488774,2.4252221628592148,0.08521214669540325,Glycoside
Neuraminic acid.mol,1.237442062644395,0.01079133744599363,1.9669247268259613,0.1231709047379159,Organic acid/other acid
Gibberellin A93,2.069506530549496,0.01391168392992586,1.856620297958221,0.1332430171955122,Phytohormone/signaling
ellagic acid,3.061080511694414,0.01981278437033426,1.7030544870208515,0.1674374522277268,Phenolic acid/phenylpropanoid
4-Methoxycinnamic acid,1.536838184065971,0.02162087442615993,1.665126745591932,0.1694290341395442,Phenolic acid/phenylpropanoid
quercetin-3-O-deoxyhexosyl(1-2)pentoside,1.832360222575577,0.03218666799941861,1.4923239796475567,0.1968180553644388,Flavonoid
